DistrictId,DistrictName,StateId,StateName
1,Nicobar,1,Andaman and Nicobar Island
2,North and Middle Andaman,1,Andaman and Nicobar Island
3,South Andaman,1,Andaman and Nicobar Island
4,Anantapur,2,Andhra Pradesh
5,Chittoor,2,Andhra Pradesh
6,Cuddapah,2,Andhra Pradesh
7,East Godavari,2,Andhra Pradesh
8,Guntur,2,Andhra Pradesh
9,Krishna,2,Andhra Pradesh
10,Kurnool,2,Andhra Pradesh
11,Nellore,2,Andhra Pradesh
12,Prakasam,2,Andhra Pradesh
13,Srikakulam,2,Andhra Pradesh
14,Visakhapatnam,2,Andhra Pradesh
15,Vizianagaram,2,Andhra Pradesh
16,West Godavari,2,Andhra Pradesh
17,Anjaw,3,Arunachal Pradesh
18,Changlang,3,Arunachal Pradesh
19,Dibang Valley,3,Arunachal Pradesh
20,East Kameng,3,Arunachal Pradesh
21,East Siang,3,Arunachal Pradesh
22,Kurung Kumey,3,Arunachal Pradesh
23,Lohit,3,Arunachal Pradesh
24,Longding,3,Arunachal Pradesh
25,Lower Dibang Valley,3,Arunachal Pradesh
26,Lower Subansiri,3,Arunachal Pradesh
27,Papum Pare,3,Arunachal Pradesh
28,Tawang,3,Arunachal Pradesh
29,Tirap,3,Arunachal Pradesh
30,Upper Siang,3,Arunachal Pradesh
31,Upper Subansiri,3,Arunachal Pradesh
32,West Kameng,3,Arunachal Pradesh
33,West Siang,3,Arunachal Pradesh
34,Baksa,4,Assam
35,Barpeta,4,Assam
36,Bongaigaon,4,Assam
37,Cachar,4,Assam
38,Chirang,4,Assam
39,Darrang,4,Assam
40,Dhemaji,4,Assam
41,Dhubri,4,Assam
42,Dibrugarh,4,Assam
43,Dima Hasao,4,Assam
44,Goalpara,4,Assam
45,Golaghat,4,Assam
46,Hailakandi,4,Assam
47,Jorhat,4,Assam
48,Kamrup Metropolitan,4,Assam
49,Kamrup,4,Assam
50,Karbi Anglong,4,Assam
51,Karimganj,4,Assam
52,Kokrajhar,4,Assam
53,Lakhimpur,4,Assam
54,Morigaon,4,Assam
55,Nagaon,4,Assam
56,Nalbari,4,Assam
57,Sivasagar,4,Assam
58,Sonitpur,4,Assam
59,Tinsukia,4,Assam
60,Udalguri,4,Assam
61,Araria,5,Bihar
62,Arwal,5,Bihar
63,Aurangabad,5,Bihar
64,Banka,5,Bihar
65,Begusarai,5,Bihar
66,Bhagalpur,5,Bihar
67,Bhojpur,5,Bihar
68,Buxar,5,Bihar
69,Darbhanga,5,Bihar
70,East Champaran (Motihari),5,Bihar
71,Gaya,5,Bihar
72,Gopalganj,5,Bihar
73,Jamui,5,Bihar
74,Jehanabad,5,Bihar
75,Kaimur (Bhabua),5,Bihar
76,Katihar,5,Bihar
77,Khagaria,5,Bihar
78,Kishanganj,5,Bihar
79,Lakhisarai,5,Bihar
80,Madhepura,5,Bihar
81,Madhubani,5,Bihar
82,Munger (Monghyr),5,Bihar
83,Muzaffarpur,5,Bihar
84,Nalanda,5,Bihar
85,Nawada,5,Bihar
86,Patna,5,Bihar
87,Purnia (Purnea),5,Bihar
88,Rohtas,5,Bihar
89,Saharsa,5,Bihar
90,Samastipur,5,Bihar
91,Saran,5,Bihar
92,Sheikhpura,5,Bihar
93,Sheohar,5,Bihar
94,Sitamarhi,5,Bihar
95,Siwan,5,Bihar
96,Supaul,5,Bihar
97,Vaishali,5,Bihar
98,West Champaran,5,Bihar
99,Chandigarh,6,Chandigarh
100,Balod,7,Chhattisgarh
101,Baloda Bazar,7,Chhattisgarh
102,Balrampur,7,Chhattisgarh
103,Bastar,7,Chhattisgarh
104,Bemetara,7,Chhattisgarh
105,Bijapur,7,Chhattisgarh
